,UT,0,1,2
274,2-S2.0-33845926146,0.7353874142499256,0.1432000602721698,0.12141252547790461
275,2-S2.0-14544300566,0.1355053882978684,0.11348504567241781,0.31872841698284593
276,2-S2.0-28044457458,0.8644974628685855,0.06997317680298967,0.06552936032842482
277,2-S2.0-84855870846,0.9482434943538198,0.029100905233946178,0.022655600412233964
278,2-S2.0-77951259225,0.142273188715736,0.1113145457539644,0.37723995992853515
279,2-S2.0-85047137905,0.951073564745739,0.026964085460984114,0.021962349793276867
280,2-S2.0-85030464571,0.5283533320737355,0.11403707843058201,0.11709165353122995
281,2-S2.0-34548393611,0.1325550622585974,0.11426734945938254,0.36055528898486683
282,2-S2.0-78650158647,0.12571293825337143,0.11530409319913508,0.35158971708761244
283,2-S2.0-85035099043,0.9499824295837193,0.027430010764266384,0.02258755965201439
284,2-S2.0-85077921856,0.9258012805685405,0.04042111532589097,0.03377760410556857
285,2-S2.0-85046796128,1.0,2.555804451315303e-309,2.078080918331e-309
286,2-S2.0-84889662297,1.0,2.852964174185876e-309,2.35104118952553e-309
287,2-S2.0-85065704433,0.9474734101502785,0.028299423173532463,0.024227166676188995
288,2-S2.0-33746170164,0.12035714507919217,0.10366243263848302,0.5734627692988071
289,2-S2.0-0037391032,0.025568716015921596,0.020919410249933157,0.9535118737341453
290,2-S2.0-0036836884,0.12552599106437062,0.1162036302482863,0.30345679170064827
291,2-S2.0-85090323089,1.0,2.551663536695057e-309,2.133333003535e-309
292,2-S2.0-85060032480,0.8607711974640808,0.0786975456999794,0.06053125683593974
293,2-S2.0-84971656024,1.0,2.52566028209009e-309,2.122212916824115e-309
294,2-S2.0-85072596858,0.7255087856140101,0.1215771809436117,0.11727656858066716
295,2-S2.0-85002376199,1.0,2.41956380742994e-309,2.063839416813188e-309
296,2-S2.0-85041699962,0.14457731710668878,0.11260891389633067,0.33711020447497037
297,2-S2.0-84863570617,0.12269940745172994,0.11537967591740565,0.3986548140229365
298,2-S2.0-84971287143,0.9777687658459645,0.012020315986505608,0.010210918167529972
299,2-S2.0-85090736666,0.07492788770649952,0.24834790914587346,0.06454055008964232
300,2-S2.0-84939496705,0.08678522912282066,0.06846008585137141,0.7293078490072574
301,2-S2.0-84983945718,0.12151417634562911,0.11505864957661105,0.3996726952011358
302,2-S2.0-9944221995,0.1315756915103066,0.11640167871519855,0.39888148429512943
303,2-S2.0-85028505667,0.9100518985391245,0.049800893901268156,0.04014720755960739
304,2-S2.0-33751027943,0.11944948973673924,0.11781559674090049,0.3509737506934441
305,2-S2.0-85034057067,1.0,2.43566624296856e-309,2.085117368410253e-309
306,2-S2.0-84894246079,2.911380708802307e-309,2.3280719560097e-309,1.0
307,2-S2.0-0033893750,0.12806944457594652,0.11323609653728314,0.4643801553316665
308,2-S2.0-85063005754,1.0,2.42598776570525e-309,2.03939019386852e-309
309,2-S2.0-84867932226,0.12733309805297177,0.11271678519165684,0.405545465233235
310,2-S2.0-85051395814,0.8865293935863268,0.062326591529371374,0.05114401488430185
311,2-S2.0-84930040226,0.9487234898875883,0.027928834223135784,0.023347675889275867
312,2-S2.0-84930032287,0.8882705314060673,0.05932782930356361,0.05240163929036911
313,2-S2.0-84941180178,0.9221805675352881,0.036337144418869836,0.04148228804584216
314,2-S2.0-85104939558,1.0,2.455214485539296e-309,2.119602303718594e-309
315,2-S2.0-85049774823,0.8341867109932053,0.0900230185747125,0.0757902704320822
316,2-S2.0-79959887935,0.9095495712420667,0.050465018128698594,0.03998541062923473
317,2-S2.0-84870677572,1.0,2.4828506633434e-309,2.10446880755003e-309
318,2-S2.0-79957973274,0.9568301026454403,0.024088463855440143,0.019081433499119456
319,2-S2.0-84949534195,0.8855944442225331,0.06101490877215245,0.05339064700531449
320,2-S2.0-0001855845,0.11859793388685803,0.11495549169274832,0.37491661967189815
321,2-S2.0-84876447966,0.6630611613426797,0.18482987096349762,0.143503452188738
322,2-S2.0-84978069007,0.8740486987868809,0.0653389382227582,0.06061236299036088
323,2-S2.0-85041013449,0.8881283506939093,0.05835755296403361,0.05351409634205714
324,2-S2.0-85041795806,0.9116386339390801,0.046801603347481,0.04155976271343887
325,2-S2.0-84907085137,1.0,2.465161228044145e-309,2.127214553939967e-309
326,2-S2.0-84886718855,0.8255165571313368,0.10283972420691413,0.07164371866174903
327,2-S2.0-85107530407,0.8252655403688268,0.09340899878741651,0.08132546084375677
328,2-S2.0-41449109728,0.10486691912795998,0.08901594363040341,0.6547058528238827
329,2-S2.0-54749111124,0.013476389685260765,0.011049626234244679,0.9754739840804945
330,2-S2.0-0040621644,0.12047887393316531,0.10712131469255623,0.5114977049618775
331,2-S2.0-0036881295,0.08752269392716204,0.06752390050822425,0.7280626129438001
332,2-S2.0-85046128301,0.10360539448004162,0.08804427749347309,0.6408630884825292
333,2-S2.0-85088476370,1.0,2.499584379472723e-309,2.14754759518862e-309
334,2-S2.0-85008392805,0.07154558135528245,0.05417218801915119,0.6378155086303882
335,2-S2.0-85054379976,1.0,2.57605698599192e-309,2.083998311268443e-309
336,2-S2.0-84870024638,0.8945120855201718,0.049922982386559595,0.055564932093268564
337,2-S2.0-0036755968,0.1306144026139479,0.11523716350952304,0.4202931647629027
338,2-S2.0-85072670649,0.08479738052694955,0.6568078118536119,0.06750564391734543
339,2-S2.0-84859612155,0.61936969341762,0.11402840853200091,0.11424210870795372
340,2-S2.0-84941180478,0.1326526997147842,0.11510770606426997,0.39845093945368765
341,2-S2.0-85020376262,1.0,2.49268747599543e-309,2.176614920607826e-309
